"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"BENNET","I believe it will get us there quickly. There are millions of people in America that do not have health insurance today because they can't. They're too wealthy. Wealthy? They make too much money to be on Medicaid. They can't afford health insurance.",0.047,0.897,0.056,0.1002,4914,1792.331,4943,1800.971,"i believe it will get us there quickly there are millions of people in america that do not have health insurance today because they can't they're too wealthy wealthy they make too much money to be on medicaid they can't afford health insurance","in america that do not have health insurance today because they can't they're too wealthy wealthy they make too much money to be on medicaid they can't afford health insurance",0.8373205741626795
"BENNET","When Senator Sanders says that Canada is single payer there are 35 million people in Canada. There are 330 million people in the United States easily the number of people on a public option that  it could easily be 35 million. And for them it would be Medicare for all as Mayor Buttigieg says. But for others that want to keep it they should be able to keep it. And I think that will be the fastest way to get where we need to go.",0.0,0.884,0.116,0.802,4944,1801.061,5027,1829.656,"when senator sanders says that canada is single payer there are 35 million people in canada there are 330 million people in the united states easily the number of people on a public option that it could easily be 35 million and for them it would be medicare for all as mayor buttigieg says but for others that want to keep it they should be able to keep it and i think that will be the fastest way to get where we need to go","when senator sanders says that canada is single payer there are 35,000,000 people in canada there are 330,000,000 people in the united states easily the number of people on a public option that could it could easily be 35,000,000 and for them would be medicare for all a cz mayor jed says but for others who want to keep it they should be able to keep it and and i think that will be the fastest way to get where we need to go",0.9058823529411765
"BENNET","Also I will say  Bernie is a very honest person. He has said over and over again unlike others that have supported this legislation over and over again that this will ban make illegal all insurance except cosmetic except insurance for  I guess that's for plastic surgery. Everything else is banned under the Medicare for all proposal",0.157,0.753,0.091,-0.6494,5029,1829.946,5081,1849.986,"also i will say bernie is a very honest person he has said over and over again unlike others that have supported this legislation over and over again that this will ban make illegal all insurance except cosmetic except insurance for i guess that's for plastic surgery everything else is banned under the medicare for all proposal","i will say birdie is a very honest person he has said over and over again unlike others that have supported this legislation over and over again that this will ban make illegal all insurance except cosmetic except insurance for i guess that's for plastic surgery everything else is banned under the medicare",0.9591194968553459
"HOLT","Let's go a little longer but",0.0,1.0,0.0,0.0,5084,1851.326,5089,1852.846,"let's go a little longer but","let's go a little longer but",1.0
"HARRIS","I'd like to add a point here.",0.0,0.667,0.333,0.3612,5090,1852.846,5098,1855.036,"i'd like to add a point here","i want but obviously senator sanders you get a",0.35135135135135137
"HOLT","But I want  but obviously Senator Sanders you get a response.",0.0,0.874,0.126,0.0387,5103,1858.326,5103,1858.496,"but i want but obviously senator sanders you get a response","you",0.0967741935483871
"HARRIS","I'd like to add a point here.",0.0,0.667,0.333,0.3612,"","","","","i'd like to add a point here","",0.0
"HOLT","Senator Sanders just respond to that.",0.0,1.0,0.0,0.0,"","","","","senator sanders just respond to that","",0.0
"SANDERS","Just very briefly you know Mike Medicare is the most popular",0.0,0.764,0.236,0.4754,5104,1858.496,5110,1863.106,"just very briefly you know mike medicare is the most popular","know mike medicare is the most popular",0.7755102040816326
"BENNET","I agree.",0.0,0.0,1.0,0.3612,"","","","","i agree","",0.0
"SANDERS"," health insurance program in the country. People don't like their private insurance companies. They like their doctors and hospitals. Under our plan people go to go to any doctor they want any hospital they want. We will substantially lower the cost of health care in this country because we'll stop the greed of the insurance companies.",0.178,0.734,0.089,-0.7016,5111,1863.116,5166,1890.696,"health insurance program in the country people don't like their private insurance companies they like their doctors and hospitals under our plan people go to go to any doctor they want any hospital they want we will substantially lower the cost of health care in this country because we'll stop the greed of the insurance companies","health insurance program in the country people don't like their private insurance companies they like their doctors and hospitals on the out plan people going any doctor they want any hospital they want we will substantially lower the cost of health care in this country because we'll stop the greed the insurance waivers for on of",0.9395770392749244
"HARRIS"," on this issue we have to think about how this affects real people.",0.0,1.0,0.0,0.0,5168,1890.986,5170,1892.486,"on this issue we have to think about how this affects real people","this affects people",0.4523809523809524
"HOLT","Senator Harris.",0.0,1.0,0.0,0.0,"","","","","senator harris","",0.0
"HARRIS","And the reality of how this affects real people is captured in a story that many of us heard and I will paraphrase.",0.0,1.0,0.0,0.0,5178,1894.746,5214,1907.046,"and the reality of how this affects real people is captured in a story that many of us heard and i will paraphrase","of us heard and i will pair front phrase there is any night in america a parent who's seeing that their child has a temperature that is out of control calls 911 what should i do and",0.4067796610169492
"HARRIS","There is any night in America a parent who has seen that their child has a temperature that is out of control calls 911 what should I do? And they say take the child to the Emergency Room. And so they get in their car and they drive and they are sitting in the parking lot outside of the Emergency Room looking at those sliding glass doors while they have the hand on the forehead of their child knowing that if they walk through those sliding glass doors even though they have insurance they will be out a 5000 deductible $5000 deductible when they walk through those doors.",0.048,0.923,0.029,-0.25,5228,1910.266,5304,1948.151,"there is any night in america a parent who has seen that their child has a temperature that is out of control calls 911 what should i do and they say take the child to the emergency room and so they get in their car and they drive and they are sitting in the parking lot outside of the emergency room looking at those sliding glass doors while they have the hand on the forehead of their child knowing that if they walk through those sliding glass doors even though they have insurance they will be out a 5000 deductible $5000 deductible when they walk through those doors","in their car and they drive and they're sitting in the parking lot outside of the emergency room looking at those sliding glass doors while they have the hand on the forehead of their child knowing that if they walk through those sliding glass doors even though they have insurance they will be out of 5000 deductible $5000 deductible when they please one of those i was just the emergency room thank you we fight health insurance",0.7125748502994012
"HARRIS","That's what insurance companies are doing in America today.",0.0,1.0,0.0,0.0,5305,1948.151,5310,1950.891,"that's what insurance companies are doing in america today","companies every single week stand in",0.425531914893617
"GUTHRIE","We are going to continue this discussion. I wanted to",0.0,1.0,0.0,0.0,5317,1953.041,5319,1953.771,"we are going to continue this discussion i wanted to","we have to",0.2903225806451613
"GUTHRIE","Candidates please. Candidates please.",0.0,0.303,0.697,0.5574,"","","","","candidates please candidates please","",0.0
"SWALWELL","I'm one of those parents. I was just in the emergency room. And I'm telling you",0.157,0.843,0.0,-0.3818,5331,1956.841,5333,1957.541,"i'm one of those parents i was just in the emergency room and i'm telling you","in america you",0.2857142857142857
"SWALWELL"," we fight health insurance companies every single week.",0.271,0.729,0.0,-0.3818,"","","","","we fight health insurance companies every single week","",0.0
"SWALWELL","We stand in line and pay expensive prescription drugs. We have to have a health care guarantee. If you are sick you're seen. And in America you never go broke because of it.",0.12,0.688,0.192,0.4276,5346,1960.581,5368,1966.801,"we stand in line and pay expensive prescription drugs we have to have a health care guarantee if you are sick you're seen and in america you never go broke because of it","have been talking tonight about these government health care plans that you proposed in one form or another this is a show of",0.4557823129251701
"GUTHRIE","OK. A lot of you have been talking tonight about these government health care plans that you have proposed in one form or another. This is a show of hands question and hold them up for a moment so people can see. Raise your hand if your",0.0,0.815,0.185,0.8531,5376,1968.481,5415,1993.821,"ok a lot of you have been talking tonight about these government health care plans that you have proposed in one form or another this is a show of hands question and hold them up for a moment so people can see raise your hand if your","a moment so people can see raise your hand if covered if your government plan would provide coverage for undocumented immigrants because our country is healthier when everybody is healthier and remember we're talking about something people are giving a",0.4577319587628866
"GUTHRIE","government plan would provide coverage for undocumented immigrants.",0.0,1.0,0.0,0.0,5430,1996.901,5431,1998.131,"government plan would provide coverage for undocumented immigrants","undocumented immigrants",0.5168539325842697
"GUTHRIE","OK. Let me start with you Mayor Buttigieg why? Mayor Buttigieg why?",0.0,0.77,0.23,0.5095,"","","","","ok let me start with you mayor buttigieg why mayor buttigieg why","",0.0
"BUTTIGIEG","Because our country is healthier when everybody is healthier. And remember we are talking about something people are given a chance to buy into in the same way that there are undocumented immigrants in my community who pay they pay sales taxes they pay property taxes directly or indirectly.",0.084,0.876,0.04,-0.0516,5432,1998.131,5447,2005.271,"because our country is healthier when everybody is healthier and remember we are talking about something people are given a chance to buy into in the same way that there are undocumented immigrants in my community who pay they pay sales taxes they pay property taxes directly or indirectly","in my community who pay they pay sales taxes they pay property taxes directly or indirectly",0.4789473684210526
"BUTTIGIEG","This is not about a handout. This is an insurance program. And we do ourselves no favors by having 11 million undocumented people in our country be unable to access health care.",0.062,0.791,0.147,0.4588,5448,2005.271,5475,2017.281,"this is not about a handout this is an insurance program and we do ourselves no favors by having 11 million undocumented people in our country be unable to access health care","this is not about handout this is an insurance program and we do ourselves no favors by having 11,000,000 undocumented people in our country be unable to access",0.9101796407185628
"BUTTIGIEG","But of course the real problem is we shouldn't have 11 million undocumented people with no pathway to citizenship. It makes no sense. And the American people",0.228,0.772,0.0,-0.7269,5477,2017.601,5502,2025.711,"but of course the real problem is we shouldn't have 11 million undocumented people with no pathway to citizenship it makes no sense and the american people","but of course the real problem is we shouldn't have 11,000,000 undocumented people with no pathway to citizenship it makes no sense in the american people",0.9385113268608414
"BUTTIGIEG","The American people agree on what to do. This is a crazy thing. If leadership consists of forming a consensus around a divisive issue this White House has divided us around a consensus issue. The American people want a pathway to citizenship they want protections for DREAMers. We need to clean up the lawful immigration system like how my father immigrated to this country.",0.037,0.807,0.157,0.7096,5505,2027.911,5567,2046.611,"the american people agree on what to do this is a crazy thing if leadership consists of forming a consensus around a divisive issue this white house has divided us around a consensus issue the american people want a pathway to citizenship they want protections for dreamers we need to clean up the lawful immigration system like how my father immigrated to this country","people agree on what to do this is a crazy thing if leadership consists of of forming a consensus around a divisive issue this white house has divided us around a consensus issue the american people want a pathway to citizenship they want protections for dreamers we need to clean up the lawful immigration system like how my father immigrated to this country",0.978021978021978
"BUTTIGIEG","And as part of a compromise we can do whatever common-sense measures are needed at the border but Washington can't deliver on something the American people want. What does that tell you about the system we are living in? It tells you it needs profound structural reform.",0.0,0.969,0.031,0.1154,5568,2046.751,5613,2060.116,"and as part of a compromise we can do whatever common-sense measures are needed at the border but washington can't deliver on something the american people want what does that tell you about the system we are living in it tells you it needs profound structural reform","and as part of a compromise we could do whatever common sense measures needed in the border but washington can't deliver on something the american people want what does that tell you about this system we're living in it tells you it needs profound structural reform",0.9586466165413534
"GUTHRIE","Mayor thank you.",0.0,0.444,0.556,0.3612,"","","","","mayor thank you","",0.0
"GUTHRIE","Vice President Biden I believe you said that your health care plan would not cover undocumented immigrants. Could you explain your position?",0.0,0.862,0.138,0.4939,5614,2060.126,5636,2066.686,"vice president biden i believe you said that your health care plan would not cover undocumented immigrants could you explain your position","vice president biden and i believe you said that your health care plan would not cover undocumented immigrants could you explain your position",0.9857142857142858
"BIDEN","I'm sorry I beg your pardon?",0.197,0.455,0.348,0.25,5637,2066.686,5641,2067.966,"i'm sorry i beg your pardon","i'm sorry big apartment i",0.6538461538461539
"GUTHRIE","I believe at the show of hands you did not raise your hand. Did you raise your hand?",0.259,0.741,0.0,-0.6435,5642,2067.976,5658,2072.176,"i believe at the show of hands you did not raise your hand did you raise your hand","believe that the show of hands you did not raise your hand did you raise your hand",0.975609756097561
"BIDEN","No I did.",0.688,0.312,0.0,-0.296,5659,2072.176,5659,2072.256,"no i did","i",0.2222222222222222
"GUTHRIE","OK. Sorry sorry. So you said that they would be covered under your plan which is different than Obamacare.",0.121,0.743,0.136,0.3254,5662,2073.136,5678,2078.326,"ok sorry sorry so you said that they would be covered under your plan which is different than obamacare","sorry sorry so you said that they would be covered under your plan which is different than",0.9326424870466321
"BIDEN","Yes. But here's the thing",0.0,0.597,0.403,0.4019,5681,2079.266,5682,2079.806,"yes but here's the thing","yes but",0.45161290322580644
"GUTHRIE","Can you explain that change?",0.0,1.0,0.0,0.0,5683,2079.996,5686,2081.426,"can you explain that change","you explain that change",0.92
"BIDEN","Yes. You cannot let as the mayor said you cannot let people who are sick no matter where they come from no matter what their status go uncovered. You can't do that. It's just going to be taken care of period. You have to. It's the humane thing to do.",0.131,0.731,0.138,-0.1531,5687,2081.436,5738,2095.146,"yes you cannot let as the mayor said you cannot let people who are sick no matter where they come from no matter what their status go uncovered you can't do that it's just going to be taken care of period you have to it's the humane thing to do","yes you cannot let as the mayor said you cannot let people who are sick no matter where they come from no matter what their status go uncovered you can't do that it's just gonna be taken care of period you have to it's the humane thing to do but here's the",0.956
"BIDEN","But here's the deal the deal is that he's right about three things. Number one they in fact contribute to the well-being of the country but they also for example they've increased the lifespan of Social Security because they have a job they're paying a Social Security tax. That's what they're doing. It has increased the lifespan.",0.0,0.798,0.202,0.8922,5740,2095.786,5791,2110.866,"but here's the deal the deal is that he's right about three things number one they in fact contribute to the well-being of the country but they also for example they've increased the lifespan of social security because they have a job they're paying a social security tax that's what they're doing it has increased the lifespan","the deal is that he's right about three things number one they in fact contribute to the well being of the country but they also for example they increased the life span is so security because they have a job they're paying so security tax that's what they're doing it's increased the",0.9132569558101473
"BIDEN","They would do the same thing in terms of reducing the overall cost of health care by them being able to be treated and not wait until they are in extremis.",0.0,0.904,0.096,0.4939,5794,2111.696,5819,2118.546,"they would do the same thing in terms of reducing the overall cost of health care by them being able to be treated and not wait until they are in extremis","they would do the same thing in terms of reducing the overall cost of health care by them being able to be treated and not wait",0.9039145907473309
"BIDEN","The other thing is folks look we can deal with these insurance companies. We can deal with the insurance companies by number one putting insurance executives in jail for their misleading advertising what they're doing on opioids what they're doing paying doctors to prescribe.",0.059,0.913,0.028,-0.34,5823,2120.176,5873,2137.706,"the other thing is folks look we can deal with these insurance companies we can deal with the insurance companies by number one putting insurance executives in jail for their misleading advertising what they're doing on opioids what they're doing paying doctors to prescribe","the other thing is folks look we can deal with these insurance companies we could deal with the insurance companies by number one putting insurance executive in jail for the misleading the misleading advertising with doing on open what they're doing paying doctors to prescribe we could we could be doing",0.8858131487889274
"BIDEN","We could be doing this by making sure everyone who is on Medicare that the government should be able to negotiate the price for whatever the drug costs are. We can do this by making sure that we're in a position that we in fact allow people. Time's up?",0.0,0.874,0.126,0.6705,5887,2140.926,5924,2156.236,"we could be doing this by making sure everyone who is on medicare that the government should be able to negotiate the price for whatever the drug costs are we can do this by making sure that we're in a position that we in fact allow people time's up","be able to negotiate the price for what whatever the drug costs are we could do this by making sure in a position that we in fact allow people way need to take a short break here we",0.641860465116279
"HOLT","Hold off a minute we need to take a short break here. We have a lot more we need to talk to all of you about. So stick with us. We're just getting started. We'll be back with more from Miami right after this.",0.0,1.0,0.0,0.0,5926,2156.346,5952,2161.206,"hold off a minute we need to take a short break here we have a lot more we need to talk to all of you about so stick with us we're just getting started we'll be back with more from miami right after this","a lot more we need to talk to all of you about so sick of this we're just getting started we'll be back with more from miami",0.7339449541284404
"HOLT","Welcome back from Miami.",0.0,0.5,0.5,0.4588,5953,2278.871,5956,2280.721,"welcome back from miami","welcome back from miami",1.0
"HOLT","Jose is going to lead off the questioning in this round.",0.123,0.877,0.0,-0.1027,5957,2280.931,5964,2283.261,"jose is going to lead off the questioning in this round","jose is going to lead off questioning this",0.865979381443299
"DIAZ-BALART","Thank you very much.",0.0,0.545,0.455,0.3612,5965,2283.541,5968,2284.731,"thank you very much","thank you very much",1.0
"DIAZ-BALART","Senator Harris last month more than 130000 migrants were apprehended at the southern border. Many of them are being detained including small children in private detention centers in Florida and throughout our country. Most of the candidates on this stage say the conditions at these facilities are abhorrent.",0.171,0.829,0.0,-0.8519,5969,2285.791,6015,2307.002,"senator harris last month more than 130000 migrants were apprehended at the southern border many of them are being detained including small children in private detention centers in florida and throughout our country most of the candidates on this stage say the conditions at these facilities are abhorrent","senator harris last month more than 130,000 migrants were apprehended in the southern border many of them are being detained including small children and private detention centers in florida and throughout our country most of the candidates on this stage say the conditions of these facilities are",0.9634551495016611
"DIAZ-BALART","On January 20th 2021 if you are president what specifically would you do with the thousands of people who try to reach the United States every day and want a better life through asylum?",0.0,0.782,0.218,0.7269,6017,2308.172,6048,2321.742,"on january 20th 2021 if you are president what specifically would you do with the thousands of people who try to reach the united states every day and want a better life through asylum","on january 20th 2021 if you are president what specifically would you do with the thousands of people who try to reach the united states every day and want a better life",0.9575070821529745
"HARRIS","Immediately on January 20th of 2021 I will first of all  we cannot forget our DACA recipients and so I'm going to start there. I will immediately by executive action reinstate DACA status and DACA protection to those young people.",0.0,0.957,0.043,0.1695,6049,2323.252,6086,2337.882,"immediately on january 20th of 2021 i will first of all we cannot forget our daca recipients and so i'm going to start there i will immediately by executive action reinstate daca status and daca protection to those young people","immediately on january 20th 2021 i will first of all we cannot forget our daca recipients and so i'm gonna start there i will immediately by executive action reinstate daca status and dr protection to those young people",0.968609865470852
"HARRIS","I will further extend protection for deferral of deportation for their parents and for veterans who we have so many who are undocumented and have served our country and fought for our democracy.",0.068,0.882,0.05,-0.1531,6087,2338.272,6117,2351.732,"i will further extend protection for deferral of deportation for their parents and for veterans who we have so many who are undocumented and have served our country and fought for our democracy","i will further extend protection for deferral of deportation for their parents and for veterans who we have so many who are undocumented and have served our country and plot democracy",0.9627659574468085
"HARRIS","I will also immediately put in place a meaningful process for reviewing the cases for asylum. I will release children from cages. I will get rid",0.0,0.901,0.099,0.3182,6118,2351.742,6143,2363.422,"i will also immediately put in place a meaningful process for reviewing the cases for asylum i will release children from cages i will get rid","i will also immediately put in place a meaningful process for reviewing the cases for asylum i will release children from cages i will get rid",1.0
"HARRIS","of the private detention centers.",0.385,0.615,0.0,-0.3612,6144,2363.422,6147,2364.652,"of the private detention centers","of the private detention",0.8571428571428571
"HARRIS","And I will ensure that this microphone that the president of the United States holds in her hand is used in a way",0.0,0.677,0.323,0.8225,6150,2366.062,6171,2379.182,"and i will ensure that this microphone that the president of the united states holds in her hand is used in a way","i will ensure that this microphone that the president of the united states holds in her hand is used in a way",0.9819819819819819
"HARRIS","that is about reflecting the values of our country and not about locking children up separating them from their parents. And I have to just say that we have to think about this issue in terms of real people. A mother who pays a coyote to transport her child through their country of origin through the entire country of Mexico facing unknown peril to come here  why would that mother do that?",0.037,0.925,0.037,0.0,6174,2380.192,6234,2404.652,"that is about reflecting the values of our country and not about locking children up separating them from their parents and i have to just say that we have to think about this issue in terms of real people a mother who pays a coyote to transport her child through their country of origin through the entire country of mexico facing unknown peril to come here why would that mother do that","about locking children up separating them from their parents and i have to just say that we have to think about this issue in terms of real people a mother who pays a toyota to transport her trial through their country of origin through the entire country of mexico facing unknown peril to come here why would that mother do that",0.9037656903765691
"HARRIS","I will tell you. Because she has decided for that child to remain where they are is worse.",0.162,0.838,0.0,-0.4767,6235,2404.732,6252,2410.962,"i will tell you because she has decided for that child to remain where they are is worse","i will tell you because she has decided for that child to remain where they are is worse",1.0
"HARRIS","But what does Donald Trump do? He says ""Go back to where you came from.""",0.0,1.0,0.0,0.0,6253,2411.052,6267,2416.307,"but what does donald trump do he says go back to where you came from","but what does donald trump do he says go back to where you came from",1.0
"HARRIS","That is not reflective of our America and our values and it's got to end.",0.0,0.838,0.162,0.4019,6268,2416.387,6280,2420.407,"that is not reflective of our america and our values and it's got to end","that is not reflective of our america and our values and it's got",0.948905109489051
"DIAZ-BALART","Governor Hickenlooper",0.0,1.0,0.0,0.0,"","","","","governor hickenlooper","",0.0
"DIAZ-BALART","Governor Hickenlooper",0.0,1.0,0.0,0.0,"","","","","governor hickenlooper","",0.0
"DIAZ-BALART","Governor Hickenlooper day one if you are",0.0,1.0,0.0,0.0,6285,2429.157,6293,2433.317,"governor hickenlooper day one if you are","day one at the white house how do you",0.38961038961038963
"WILLIAMSON","Another thing I",0.0,1.0,0.0,0.0,6297,2434.867,6297,2435.307,"another thing i","i",0.125
"DIAZ-BALART","Day one at the White House how do you respond?",0.0,1.0,0.0,0.0,6302,2436.327,6302,2436.497,"day one at the white house how do you respond","you",0.125
"WILLIAMSON"," deal with these  with these children?",0.0,1.0,0.0,0.0,"","","","","deal with these with these children","",0.0
"DIAZ-BALART","I  let me get to you in just a second.",0.0,1.0,0.0,0.0,6303,2436.507,6306,2437.767,"i let me get to you in just a second","in just a second",0.6153846153846154
"WILLIAMSON","I'm sorry.",0.565,0.435,0.0,-0.0772,"","","","","i'm sorry","",0.0
"DIAZ-BALART","Governor day one thousands of men women and children cross the border asking for asylum for a better life. What do you do?",0.0,0.879,0.121,0.4404,6307,2439.477,6329,2449.877,"governor day one thousands of men women and children cross the border asking for asylum for a better life what do you do","governor day one thousands of and women and children across the border asking for asylum for a better life what do you do",0.979253112033195
"DIAZ-BALART","One  day one hour one?",0.0,1.0,0.0,0.0,6330,2450.737,6334,2452.377,"one day one hour one","one day one hour one",1.0
"HICKENLOOPER","Well certainly the images we have seen this week just compound the emotional impact that the world is judging us by. If you'd ever told me any time in my life that this country would sanction federal agents to take children from the arms of their parents put them in cages actually put them up for adoption  in Colorado we call that kidnapping  I would have told you",0.0,0.913,0.087,0.6249,6335,2452.967,6402,2479.217,"well certainly the images we have seen this week just compound the emotional impact that the world is judging us by if you'd ever told me any time in my life that this country would sanction federal agents to take children from the arms of their parents put them in cages actually put them up for adoption in colorado we call that kidnapping i would have told you","well certainly the images we've seen this week just compound the emotional impact that the world is judging us by if you had ever told me any time in my life that this country would sanction federal agents to take children from the arms of their parents put them in cages actually put them up for adoption in colorado we call that kidnapping i would have told you",0.9889807162534435
"HICKENLOOPER","I would have told you it was unbelievable. And the first thing we have to do is recognize the humanitarian crisis on the border for what it is. We make sure that there are the sufficient facilities in place so that women and children are not separated from their families that children are with their families.",0.068,0.864,0.068,-0.25,6403,2479.227,6472,2504.397,"i would have told you it was unbelievable and the first thing we have to do is recognize the humanitarian crisis on the border for what it is we make sure that there are the sufficient facilities in place so that women and children are not separated from their families that children are with their families","i told you it was unbelievable and the first thing we have to do is recognize the humanitarian crisis on the war for what it is you make sure that there are the sufficient facilities in place so that women and children not separated from their families and children are with their families we have to make sure that that ice is completely reformed and they begin looking at their",0.8221574344023324
"HICKENLOOPER","We have to make sure that ICE is completely reformed and they begin looking at their job in a humanitarian way where they're addressing the whole needs of the people that they are engaged with along the border and we have to make sure ultimately that we provide not just shelter but food clothing and access to medical care.",0.0,0.851,0.149,0.8151,6488,2508.817,6543,2527.307,"we have to make sure that ice is completely reformed and they begin looking at their job in a humanitarian way where they're addressing the whole needs of the people that they are engaged with along the border and we have to make sure ultimately that we provide not just shelter but food clothing and access to medical care","they are engaged with along the border and we have to make sure ultimately that we provide not just shelter but food clothing and access to medical care ms williamson donald trump has done to these children and it's not just in colorado governor you're right it is kidnapping and it's extremely important for us to",0.4772370486656201
"DIAZ-BALART","Ms. Williamson?",0.0,1.0,0.0,0.0,"","","","","ms williamson","",0.0
"WILLIAMSON","Yes. What Donald Trump has done to these children  and it's not just in Colorado  Governor you're right it is kidnapping and it's extremely important for us to realize that. If you forcibly take a child from their parents' arms you are kidnapping them.",0.0,0.895,0.105,0.5849,6558,2532.727,6578,2539.684,"yes what donald trump has done to these children and it's not just in colorado governor you're right it is kidnapping and it's extremely important for us to realize that if you forcibly take a child from their parents' arms you are kidnapping them","and if you take a lot of children and you put the minute detainment center thus inflicting chronic trauma upon them",0.40331491712707185
"WILLIAMSON","And if you take a lot of children and you put them in a detainment center that's inflicting chronic trauma upon them. That's called child abuse. This is collective child abuse.",0.301,0.699,0.0,-0.9042,6592,2544.094,6592,2544.124,"and if you take a lot of children and you put them in a detainment center that's inflicting chronic trauma upon them that's called child abuse this is collective child abuse","a",0.011494252873563218
"WILLIAMSON","And when this is crime  both of those things are a crime. And if your government does it that doesn't make it less of a crime. These are state-sponsored crimes.",0.296,0.704,0.0,-0.8885,6600,2546.664,6626,2558.474,"and when this is crime both of those things are a crime and if your government does it that doesn't make it less of a crime these are state-sponsored crimes","and if your government does it that doesn't make it less of a crime these are state sponsored crimes president has done is not only attacked these",0.6556291390728477
"DIAZ-BALART","Congressman",0.0,1.0,0.0,0.0,"","","","","congressman","",0.0
"WILLIAMSON","And what President  and what President Trump has done is not only attack these children not only demonize these immigrants he is attacking a basic principle of America's moral core. We open our hearts to the stranger.",0.076,0.86,0.065,-0.1144,6634,2560.784,6649,2568.074,"and what president and what president trump has done is not only attack these children not only demonize these immigrants he is attacking a basic principle of america's moral core we open our hearts to the stranger","is attacking a basic principle of america's moral core we open our hearts to the stranger",0.5874587458745875
"WILLIAMSON","This is extremely important. And it's also important for all of us. Remember and I have great respect for everyone who is on this stage. But we're going to talk about what to do about health care? Well where have you been guys? Because it's not just a matter of a plan. And I haven't heard anybody on this stage who has talked about American foreign policy in Latin America and how we might have in the last few decades contributed to",0.012,0.797,0.191,0.943,6650,2568.274,6729,2588.884,"this is extremely important and it's also important for all of us remember and i have great respect for everyone who is on this stage but we're going to talk about what to do about health care well where have you been guys because it's not just a matter of a plan and i haven't heard anybody on this stage who has talked about american foreign policy in latin america and how we might have in the last few decades contributed to","this is extremely important and it's also important for all of us remember i have great respect for everyone who is on this on this on this stage but we're gonna talk about what to do about health care where have you been guys because ifit's not just the matter of a plan and i haven't heard anybody on this day two has talked about american foreign policy in latin america and how we might have in the last few",0.9177592371871275
"DIAZ-BALART","Senator Gillibrand what would you do as president with a reality?",0.0,1.0,0.0,0.0,6731,2593.124,6739,2596.334,"senator gillibrand what would you do as president with a reality","what would you do is president with a reality",0.8073394495412844
"GILLIBRAND","Well one of the worst things about President Trump that he's done to this country is he's torn apart the moral fabric of who we are. When he started separating children at the border from their parents the fact that seven children have died in his custody the fact that dozens of children have been separated from their parents and they have no plan to reunite them.",0.157,0.816,0.028,-0.8689,6740,2596.914,6805,2617.984,"well one of the worst things about president trump that he's done to this country is he's torn apart the moral fabric of who we are when he started separating children at the border from their parents the fact that seven children have died in his custody the fact that dozens of children have been separated from their parents and they have no plan to reunite them","one of the worst things about president trump that he's done to this country is he's tauron apart the moral fabric of who we are when he started separating children at the border from their parents the fact that seven children have died in his custody the fact that dozens of children have been separated from their parents and they have no plan to reunite them",0.9875862068965517
"GILLIBRAND","So I would do a few things. First I would fight for comprehensive immigration reform with a pathway to citizenship. Second I would reform how we treat asylum-seekers at the border. I would have a community-based treatment center where we're doing it within the communities where asylum-seekers are given lawyers where there's real immigration judges not employees of the attorney general but appointed for life and have a community-based system. I would fund border security.",0.026,0.883,0.092,0.5647,6806,2617.984,6883,2644.234,"so i would do a few things first i would fight for comprehensive immigration reform with a pathway to citizenship second i would reform how we treat asylum-seekers at the border i would have a community-based treatment center where we're doing it within the communities where asylum-seekers are given lawyers where there's real immigration judges not employees of the attorney general but appointed for life and have a community-based system i would fund border security","so i would do a few things first i would fight for comprehensive immigration reform with a pathway to citizenship second i would reform how we treat asylum seekers at the border i would have a community based treatment center where you're doing within the communities where asylum seekers are given lawyers where there's really immigration judges not employees of the attorney general but appointed for life and have a community based system i would fund border security",0.9808510638297873
"GILLIBRAND","But the worst thing President Trump has done is he's diverted the funds away from cross-border terrorism cross-border human trafficking drug trafficking and gun trafficking and he's given that money to the for-profit prisons. I would not be spending money in for-profit prisons to lock up children and asylum-seekers.",0.198,0.802,0.0,-0.9022,6884,2644.324,6930,2662.144,"but the worst thing president trump has done is he's diverted the funds away from cross-border terrorism cross-border human trafficking drug trafficking and gun trafficking and he's given that money to the for-profit prisons i would not be spending money in for-profit prisons to lock up children and asylum-seekers","but the worst thing president trump has done he's diverted the funds away from cross border terrorism cross border human trafficking drug trafficking and gun trafficking and he's given that money to the four profit prisons i would not be spending money in four property lockup children",0.9233333333333333
"DIAZ-BALART","We had a very spirited debate on this stage last night on the topic of decriminalization of the border. If you'd be so kind raise your hand if you think it should be a civil offense rather than a crime to cross the border without documentation? Can we keep the hands up so we could see them?",0.085,0.754,0.162,0.7201,6934,2663.584,6991,2680.954,"we had a very spirited debate on this stage last night on the topic of decriminalization of the border if you'd be so kind raise your hand if you think it should be a civil offense rather than a crime to cross the border without documentation can we keep the hands up so we could see them","we had a very spirited debate on this stage last night on the topic of de criminalization of the border if you'd be so kind raise your hand if you think it should be a civil effects rather than a crime to cross the border without documentation can we keep the hands up so we could see them",0.9878682842287695
